"Resp_Day","ID_fish","chamber_ch","Temp_class","RMR","RMR_var","RMR_perc","time_start","time_end","mass","length","volume_net","SMR","MMR","log_mass","Month","resid","SMR_mass","SMR_resid","RMR_mass","RMR_resid","MMR_mass","MMR_resid","Rack","Bin","TagID","Final_Mass_g","Final_Length_mm","Gonad_mass_g","Sex","Fat_mass_g","Ventricle_mass_g","Otolith_age_y","mass_prev","SGR","Period_start","Period_end","SMR_prev","SMR_mass_prev","RMR_prev","RMR_mass_prev","MMR_prev","MMR_mass_prev","Overall_SGR","SGR_predict","SGR_resid","time","Month_int","GutRatio_1","GutRatio_2"
1,92,"C1",18,0.339690045070021,0.0196564334743617,5.78657919466255,2023-04-27 17:17:00,2023-04-28 10:17:00,0.68,58,709.32,0.179987502312889,0.498158126869622,-0.167491087293764,"April",0.0142526209274831,0.454910247735239,-0.0657083027019428,0.763029825456085,0.000532480408311421,1.87913063273291,0.0142526209274831,3,7,"",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19,0,NA,NA
1,93,"D1",18,0.285582283248615,0.0134941355924534,4.72513050843075,2023-04-27 17:17:00,2023-04-28 10:17:00,1.22,66,708.78,0.183465977316444,0.58310279178156,0.0863598306747482,"April",-0.0168598193384043,0.525669192302387,-0.00292149773715975,1.0138655051684,0.123971313603947,1.74922039364198,-0.0168598193384043,3,7,"",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19,0,NA,NA
1,94,"D3",18,0.361186675604637,0.0106930107257265,2.96052192618295,2023-04-27 17:17:00,2023-04-28 10:17:00,1.99,73,708.01,0.257640774075335,0.842977500812176,0.298853076409707,"April",-0.0531234390135602,0.623506496263718,0.0712069597499486,0.835700727360037,0.0400417464953369,1.60909213596638,-0.0531234390135602,3,7,"RR",3.128,82,0.123,"M",0.042,"",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19,0,0.566707466,0.668027211
1,95,"C3",18,0.577891345084364,0.0506655838697184,8.76732006815607,2023-04-27 17:17:00,2023-04-28 10:17:00,2.83,83,707.17,0.34349495281084,0.668486375549546,0.45178643552429,"April",0.0474297254210508,0.504480850919731,-0.0207893370280637,0.781179257600656,0.010741669424144,2.02830880881247,0.0474297254210508,3,7,"BL",4.14,94,0.7,"F",0.105,"0.002",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19,0,0.640798226,0.668888889
1,96,"D4",18,0.539186118241373,0.0413620186248314,7.67119501513487,2023-04-27 17:17:00,2023-04-28 10:17:00,2.16,78,707.84,0.342964597042022,0.875229788997043,0.334453751150931,"April",-0.0838179169306771,0.421672416095174,-0.0986588306065634,0.738378752867551,-0.0137298424573196,1.49929272757032,-0.0838179169306771,3,7,"BR",3.687,89,0.01,"I",0.054,"0.005",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19,0,0.565308255,0.591617934
2,97,"B3",18,0.242406526511385,0.0237246556836333,9.78713569517653,2023-04-28 16:37:00,2023-04-29 11:17:00,1.08,65,708.92,0.0759096584908474,1.04232774599391,0.0334237554869497,"April",-0.204969639558146,0.544056672884712,0.0120101183470055,0.678024646450139,-0.0507635527430504,1.13431770753841,-0.204969639558146,3,8,"",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-18,0,NA,NA
2,98,"A2",18,0.348267470906494,0.0309351648061533,8.88258806532611,2023-04-28 16:37:00,2023-04-29 11:17:00,2.26,78,707.74,0.14178214105139,0.922975379866123,0.354108439147401,"April",-0.0172388220302962,0.506029578083955,-0.0194581203108039,0.608487240002974,-0.0977575581720196,1.7476945394761,-0.0172388220302962,3,8,"YR",4.65,96,0.057,"F",0.145,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-18,0,0.57311535,0.605456453
2,99,"B1",18,0.182229883702908,0.0116472734652864,6.39152768394182,2023-04-28 16:37:00,2023-04-29 11:17:00,0.91,61,709.09,0.0381632548397578,0.441551551872488,-0.0409586076789064,"April",-0.084686053647691,0.556200775923334,0.0215975674202806,0.671906285865783,-0.0547003296127484,1.49629869685255,-0.084686053647691,3,8,"BrL",1.66,69,0.016,"M",0.002,"0.003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-18,0,0.611353712,0.585329341
2,100,"B4",18,0.397240818572376,0.0363094387633596,9.14040981333447,2023-04-28 16:37:00,2023-04-29 11:17:00,2.26,77,707.74,0.195182295391525,1.38926004374825,0.354108439147401,"April",-0.0392394889242233,0.44896884149792,-0.0714178210175189,0.660072741808426,-0.0624172350539419,1.66136425591318,-0.0392394889242233,3,8,"BrR",3.708,94,0.035,"F",0.068,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-18,0,0.595884004,0.580046404
2,101,"A1",18,0.327644728849975,0.0370801397924102,11.3171787999034,2023-04-28 16:37:00,2023-04-29 11:17:00,1.73,76,708.27,0.127998183283525,0.684868035617409,0.238046103128795,"April",-0.0842134036089439,0.578900953350869,0.0389702418088921,0.672515751630773,-0.0543065728468017,1.49792803051668,-0.0842134036089439,3,8,"",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-18,0,NA,NA
