DataMessageGUID,SensorID,Sensor Name,Date,Value,Formatted Value,Battery,Raw Data,Sensor State,GatewayID,Alert Sent,Signal Strength,Voltage
3de99a6f-5a80-4204-be6e-c3b5882c4840,445504,S332 Rack 2 Temperature,15/06/2022,19,19° C,100,19,18,911279,FALSE,73,3.05
8c7ee06b-e9dd-40d5-b9cf-0af3ca301355,445504,S332 Rack 2 Temperature,15/06/2022,19.1,19.1° C,100,19.1,18,911279,FALSE,72,3.05
1ae07fed-09aa-422e-82ce-914e833de9a0,445504,S332 Rack 2 Temperature,15/06/2022,19,19° C,100,19,18,911279,FALSE,73,3.05
03977383-912a-4af4-af02-741de969b85d,445504,S332 Rack 2 Temperature,15/06/2022,19,19° C,100,19,18,911279,FALSE,73,3.05
5db1f92b-44a8-4e0b-aa3e-cab6b360fd9a,445504,S332 Rack 2 Temperature,15/06/2022,19.1,19.1° C,100,19.1,18,911279,FALSE,72,3.04
1a195302-a382-4a7c-ac7a-f9c9c7f2d4f5,445504,S332 Rack 2 Temperature,15/06/2022,19,19° C,100,19,18,911279,FALSE,72,3.05
b8ac1bbc-3633-4719-8d10-42ba49143770,445504,S332 Rack 2 Temperature,15/06/2022,19.1,19.1° C,100,19.1,18,911279,FALSE,72,3.05
be1e5965-cb2f-4556-a810-93889a87f576,445504,S332 Rack 2 Temperature,15/06/2022,19,19° C,100,19,18,911279,FALSE,72,3.05
4f55a41a-c676-4d96-8344-939a6dae59a6,445504,S332 Rack 2 Temperature,15/06/2022,19.1,19.1° C,100,19.1,18,911279,FALSE,72,3.06
5a4023be-e9fa-46ef-b454-98f8d38f94d0,445504,S332 Rack 2 Temperature,15/06/2022,19,19° C,100,19,18,911279,FALSE,72,3.04
d0babec9-ee1a-4a4a-97f5-70a38f806e7e,445504,S332 Rack 2 Temperature,15/06/2022,19.1,19.1° C,100,19.1,18,911279,FALSE,72,3.05
6ab76cfb-8908-4864-a202-e6ab4bf764e6,445504,S332 Rack 2 Temperature,15/06/2022,19.1,19.1° C,100,19.1,18,911279,FALSE,72,3.05
af3a81d2-ece0-451b-9ee4-13625bec5bdd,445504,S332 Rack 2 Temperature,15/06/2022,19.1,19.1° C,100,19.1,18,911279,FALSE,72,3.04
be9d7d75-efb1-481c-966c-a162a2483932,445504,S332 Rack 2 Temperature,15/06/2022,19,19° C,100,19,18,911279,FALSE,73,3.06
6925ba9c-a4f6-402c-9bf1-43a83fcc59e3,445504,S332 Rack 2 Temperature,15/06/2022,19,19° C,100,19,18,911279,FALSE,72,3.05
44b6b91c-8c58-4184-a332-30163f10f6a0,445504,S332 Rack 2 Temperature,15/06/2022,19.1,19.1° C,100,19.1,18,911279,FALSE,72,3.06
f8b344c9-63d9-402c-bb98-bdfd8581c1dc,445504,S332 Rack 2 Temperature,15/06/2022,19.1,19.1° C,100,19.1,18,911279,FALSE,72,3.05
8f0d7e77-cb5e-4256-acd6-2aad4f73a2c9,445504,S332 Rack 2 Temperature,15/06/2022,19.1,19.1° C,100,19.1,18,911279,FALSE,73,3.05
c153940a-e58f-4946-96d0-c2fb58926d2e,445504,S332 Rack 2 Temperature,15/06/2022,19.1,19.1° C,100,19.1,18,911279,FALSE,72,3.05
ba4bb2d3-19e0-49ab-8726-687d568ca05a,445504,S332 Rack 2 Temperature,15/06/2022,19,19° C,100,19,18,911279,FALSE,72,3.06
