DataMessageGUID,SensorID,Sensor Name,Date,Value,Formatted Value,Battery,Raw Data,Sensor State,GatewayID,Alert Sent,Signal Strength,Voltage
756c00c6-fe55-4c96-985d-f3713b4b66ef,445504,S332 Rack 2 Temperature,25/11/2022 2:50,18.3,18.3° C,100,18.3,18,911279,FALSE,60,3.04
f07f92c5-f8fe-4b6b-aa60-48c811f5e697,445504,S332 Rack 2 Temperature,25/11/2022 2:40,18.3,18.3° C,100,18.3,18,911279,FALSE,61,3.05
4dc2a063-78fe-4f13-a968-3972520865b8,445504,S332 Rack 2 Temperature,25/11/2022 2:30,18.3,18.3° C,100,18.3,18,911279,FALSE,57,3.05
dfcb8f49-09d4-48ab-958a-47abf874d771,445504,S332 Rack 2 Temperature,25/11/2022 2:20,18.3,18.3° C,100,18.3,18,911279,FALSE,61,3.05
0982bb29-edd8-4bdd-9e53-816d1e8891ac,445504,S332 Rack 2 Temperature,25/11/2022 2:10,18.4,18.4° C,100,18.4,18,911279,FALSE,60,3.05
b21e8e23-b163-45f4-889c-ee49b018cdca,445504,S332 Rack 2 Temperature,25/11/2022 2:00,18.4,18.4° C,100,18.4,18,911279,FALSE,60,3.05
bbcc0b79-cf8e-452c-89b8-ec701a277fba,445504,S332 Rack 2 Temperature,25/11/2022 1:50,18.4,18.4° C,100,18.4,18,911279,FALSE,61,3.05
f73e9d07-7d8c-43a9-9ee8-821f2ea109d3,445504,S332 Rack 2 Temperature,25/11/2022 1:40,18.3,18.3° C,100,18.3,18,911279,FALSE,57,3.05
8bb726be-4d79-4959-a39a-ac39b0d258dd,445504,S332 Rack 2 Temperature,25/11/2022 1:30,18.4,18.4° C,100,18.4,18,911279,FALSE,60,3.05
d3c3a255-eb08-4b06-8241-76b9c5e4794f,445504,S332 Rack 2 Temperature,25/11/2022 1:20,18.4,18.4° C,100,18.4,18,911279,FALSE,60,3.05
298ec50d-7f98-441d-afc6-24eb36ad4889,445504,S332 Rack 2 Temperature,25/11/2022 1:10,18.4,18.4° C,100,18.4,18,911279,FALSE,61,3.05
0b1fbef7-9f3a-4f6b-9f5a-a2a97b8024fe,445504,S332 Rack 2 Temperature,25/11/2022 1:00,18.3,18.3° C,100,18.3,18,911279,FALSE,60,3.05
715b0acd-f04b-4231-8721-8754c7cbae84,445504,S332 Rack 2 Temperature,25/11/2022 0:50,18.3,18.3° C,100,18.3,18,911279,FALSE,60,3.04
8cf6bd0a-b4fc-4fff-9c29-76438c5aad0d,445504,S332 Rack 2 Temperature,25/11/2022 0:40,18.4,18.4° C,100,18.4,18,911279,FALSE,60,3.04
df1d529a-e7f7-4fd7-87b5-5adb3563b1db,445504,S332 Rack 2 Temperature,25/11/2022 0:30,18.4,18.4° C,100,18.4,18,911279,FALSE,61,3.05
357ac2d8-7550-4885-945b-458ad42cbbe1,445504,S332 Rack 2 Temperature,25/11/2022 0:20,18.4,18.4° C,100,18.4,18,911279,FALSE,61,3.05
0e5b6aa0-fde1-4d9f-86ce-0cd33b98811e,445504,S332 Rack 2 Temperature,25/11/2022 0:10,18.3,18.3° C,100,18.3,18,911279,FALSE,57,3.05
7cd2b6c4-799f-4a3b-9dfa-17de64a4788a,445504,S332 Rack 2 Temperature,25/11/2022 0:00,18.4,18.4° C,100,18.4,18,911279,FALSE,60,3.04
53b96eb5-d5c2-48f7-9dea-6ac5435694aa,445504,S332 Rack 2 Temperature,24/11/2022 23:50,18.4,18.4° C,100,18.4,18,911279,FALSE,61,3.04
9ddbddcc-87ec-4742-9c2e-2fa99841718e,445504,S332 Rack 2 Temperature,24/11/2022 23:40,18.4,18.4° C,100,18.4,18,911279,FALSE,60,3.04
ff9cadcc-8c11-43cf-85ea-c0874964bb41,445504,S332 Rack 2 Temperature,24/11/2022 23:30,18.4,18.4° C,100,18.4,18,911279,FALSE,60,3.05
f4be1cf5-2178-4a8e-a8ba-e249033993a8,445504,S332 Rack 2 Temperature,24/11/2022 23:20,18.4,18.4° C,100,18.4,18,911279,FALSE,54,3.05
5f75c978-eb92-42e3-8004-5d9e2d4f1220,445504,S332 Rack 2 Temperature,24/11/2022 23:10,18.4,18.4° C,100,18.4,18,911279,FALSE,60,3.03
a884afe1-f759-4406-babf-afddc392800b,445504,S332 Rack 2 Temperature,24/11/2022 23:00,18.4,18.4° C,100,18.4,18,911279,FALSE,60,3.05
e0b2cdd4-fb96-4f19-a0e6-1544f891090c,445504,S332 Rack 2 Temperature,24/11/2022 22:50,18.4,18.4° C,100,18.4,18,911279,FALSE,60,3.05
1f734eb0-3b58-4b53-9b94-04943d75d6f4,445504,S332 Rack 2 Temperature,24/11/2022 22:40,18.4,18.4° C,100,18.4,18,911279,FALSE,60,3.04
fd3155c4-ccf3-46bd-a39f-22a6032a61c9,445504,S332 Rack 2 Temperature,24/11/2022 22:30,18.4,18.4° C,100,18.4,18,911279,FALSE,57,3.05
5e0a0db5-03f4-4d01-b25e-dade1ca08322,445504,S332 Rack 2 Temperature,24/11/2022 22:20,18.4,18.4° C,100,18.4,18,911279,FALSE,60,3.05
c72a5d1d-4ee5-4ff7-91d7-576bbdd83f24,445504,S332 Rack 2 Temperature,24/11/2022 22:10,18.4,18.4° C,100,18.4,18,911279,FALSE,61,3.05
a61bcf47-49fe-469f-9e92-d0edf157950d,445504,S332 Rack 2 Temperature,24/11/2022 22:00,18.4,18.4° C,100,18.4,18,911279,FALSE,61,3.05
10def44c-8d43-4ddd-a3bc-50d1303f1b70,445504,S332 Rack 2 Temperature,24/11/2022 21:50,18.4,18.4° C,100,18.4,18,911279,FALSE,60,3.05
c23a34b1-8c50-46c9-8256-3621c63b00ce,445504,S332 Rack 2 Temperature,24/11/2022 21:40,18.4,18.4° C,100,18.4,18,911279,FALSE,61,3.05
67754306-a632-40f8-9caa-6cc8866cc3bf,445504,S332 Rack 2 Temperature,24/11/2022 21:30,18.4,18.4° C,100,18.4,18,911279,FALSE,51,3.06
93f544ec-0847-4ad3-a751-48634f436918,445504,S332 Rack 2 Temperature,24/11/2022 21:20,18.5,18.5° C,100,18.5,18,911279,FALSE,57,3.05
6b376b7e-b4e8-4087-91b0-15fd166ec272,445504,S332 Rack 2 Temperature,24/11/2022 21:10,18.5,18.5° C,100,18.5,18,911279,FALSE,61,3.04
f12d1d44-cfca-4daa-912f-c0c164d0d0c3,445504,S332 Rack 2 Temperature,24/11/2022 21:00,18.4,18.4° C,100,18.4,18,911279,FALSE,61,3.06
74217778-5654-46a1-929c-0e32ac5169a5,445504,S332 Rack 2 Temperature,24/11/2022 20:50,18.4,18.4° C,100,18.4,18,911279,FALSE,60,3.05
13f0cf7e-17e6-4aab-beca-2b5f486265e4,445504,S332 Rack 2 Temperature,24/11/2022 20:40,18.4,18.4° C,100,18.4,18,911279,FALSE,57,3.05
cbb34837-f309-4190-9f56-61e2f85b3921,445504,S332 Rack 2 Temperature,24/11/2022 20:30,18.5,18.5° C,100,18.5,18,911279,FALSE,60,3.04
a3b007b7-4684-4f2f-b746-04da37b8493f,445504,S332 Rack 2 Temperature,24/11/2022 20:20,18.5,18.5° C,100,18.5,18,911279,FALSE,61,3.04
f5c1a499-5d46-46b6-90f0-3b192d9e3edd,445504,S332 Rack 2 Temperature,24/11/2022 20:10,18.5,18.5° C,100,18.5,18,911279,FALSE,60,3.06
