"ID_fish","chamber_ch","Temp_class","RMR","RMR_var","RMR_perc","time_start","time_end","mass","length","volume_net","SMR","MMR"
125,"C1",23,0.780026659612424,0.047408487009378,6.07780342186435,2023-07-21 16:24:00,2023-07-22 09:29:00,2.86,85,707.14,0.578734004146973,1.91872419963071
145,"B2",23,0.655313554862469,0.0568979491588929,8.68255337261169,2023-07-21 16:24:00,2023-07-22 09:29:00,1.75,74,708.25,0.39681761975334,1.04425452582714
146,"A2",23,0.466568615738949,0.00845875303881682,1.81297085862063,2023-07-21 16:24:00,2023-07-22 09:29:00,1.69,73,708.31,0.382790374202292,1.06785504345615
147,"A3",23,0.934348778119579,0.0832200498323284,8.90674358239252,2023-07-21 16:24:00,2023-07-22 09:29:00,1.72,72,708.28,0.55428940942706,1.05763968088826
151,"A1",23,0.64131832757212,0.0297308209152094,4.63589135644435,2023-07-21 16:24:00,2023-07-22 09:29:00,2.41,82,707.59,0.473845145517202,1.61162241212196
152,"B1",23,0.534057615140111,0.01414272514516,2.64816468190415,2023-07-21 16:24:00,2023-07-22 09:29:00,1.81,73,708.19,0.371073978882293,1.20346663160527
153,"C2",23,0.947491973509948,0.0623768408686505,6.58336351257709,2023-07-21 16:24:00,2023-07-22 09:29:00,3.91,89,706.09,0.742945882929013,1.97813393028992
154,"D3",23,0.942169547048121,0.0297569821597549,3.15834684457649,2023-07-21 16:24:00,2023-07-22 09:29:00,2.97,83,707.03,0.723462427481235,1.41750081229545
155,"C3",23,0.754382672340256,0.0508830127134272,6.74498693820436,2023-07-21 16:24:00,2023-07-22 09:29:00,1.87,70,708.13,0.469974505982686,1.19830281543099
157,"D2",23,0.79656941588769,0.0239222013082129,3.00315337635129,2023-07-21 16:24:00,2023-07-22 09:29:00,2.55,83,707.45,0.617315206940967,1.20976150042519
