"ID_fish","chamber_ch","Temp_class","RMR","RMR_var","RMR_perc","time_start","time_end","mass","length","volume_net","SMR","MMR"
9,"A1",18,0.271866852692853,0.0052780523904178,1.94141078183621,2023-05-03 16:24:00,2023-05-04 09:54:00,1.57,67,708.43,0.182775995958022,0.760765291422552
10,"A2",18,0.203295574127232,0.00237064860183369,1.16610930267966,2023-05-03 16:24:00,2023-05-04 09:54:00,1.11,61,708.89,0.138933606051,0.542556131852229
11,"A3",18,0.457479750912993,0.038210180485315,8.35232169490756,2023-05-03 16:24:00,2023-05-04 09:54:00,2.42,78,707.58,0.330967126463664,1.48186875264481
12,"B2",18,0.26528375046286,0.00691474995086966,2.60654862531346,2023-05-03 16:24:00,2023-05-04 09:54:00,1.36,64,708.64,0.178432989634174,0.806780601130233
13,"A4",18,0.266554761928074,0.0202797875409101,7.60811301746031,2023-05-03 16:24:00,2023-05-04 09:54:00,0.85,57,709.15,0.142181424438261,0.534443259654396
14,"B1",18,0.396355990436325,0.0112237306925776,2.83172979932057,2023-05-03 16:24:00,2023-05-04 09:54:00,1.87,74,708.13,0.289078302800312,1.0315877976332
15,"B4",18,0.333777052809348,0.00508338868245062,1.52298926473961,2023-05-03 16:24:00,2023-05-04 09:54:00,1.55,68,708.45,0.256557951254583,0.822239261267616
16,"B3",18,0.554951647474704,0.103325576574216,18.6188431090163,2023-05-03 16:24:00,2023-05-04 09:54:00,2.19,76,707.81,0.322640767049715,0.963745551334109
25,"C3",18,0.193846125553648,0.0122792697455608,6.33454484090914,2023-05-03 16:24:00,2023-05-04 09:54:00,1.82,74,705.4035,0.0373213750763269,0.546035818875306
27,"D1",18,0.195588709150015,0.00577225846199884,2.95122274035336,2023-05-03 16:24:00,2023-05-04 09:54:00,1.4,66,705.8235,0.095791758010466,0.511168139504604
28,"D4",18,0.291284811139489,0.0116275085143858,3.99180048863505,2023-05-03 16:24:00,2023-05-04 09:54:00,2.94,82,704.2835,0.181758470570773,0.871231329242205
29,"C1",18,0.151631514699181,0.0110588424313684,7.293234822133,2023-05-03 16:24:00,2023-05-04 09:54:00,1.16,60,706.0635,0.0138955010449103,0.338781838289698
30,"D2",18,0.275466743702205,0.024031896176612,8.724064420129,2023-05-03 16:24:00,2023-05-04 09:54:00,2.45,77,704.7735,0.136808817769303,0.782102496880754
31,"D3",18,0.255764345934764,0.0208788760887587,8.16332550670846,2023-05-03 16:24:00,2023-05-04 09:54:00,2.05,74,705.1735,0.128162777807097,0.693955691964825
32,"C2",18,0.149567473379291,0.00803676191778597,5.37333534906043,2023-05-03 16:24:00,2023-05-04 09:54:00,0.79,59,706.4335,0.0365308523358969,0.542456469003969
