"ID_fish","chamber_ch","Temp_class","RMR","RMR_var","RMR_perc","time_start","time_end","mass","length","volume_net","SMR","MMR"
145,"A1",23,0.765511615329001,0.0545394221068035,7.12457146497557,2023-06-19 14:09:00,2023-06-20 07:14:00,1.49,70,708.51,0.526431230309139,1.16733713221392
146,"A2",23,0.63296808835836,0.023937371500417,3.78176592796329,2023-06-19 14:09:00,2023-06-20 07:14:00,1.43,70,708.57,0.502270966483216,1.13028511059491
147,"A3",23,0.838391921375351,0.0631742941239224,7.53517448263185,2023-06-19 14:09:00,2023-06-20 07:14:00,1.51,67,708.49,0.584568419412626,1.08425679247819
151,"B2",23,0.741438202457789,0.155317563622017,20.9481468728149,2023-06-19 14:09:00,2023-06-20 07:14:00,2.29,78,707.71,0.390828372045833,1.43485163087444
152,"B1",23,0.489041586006322,0.0218399946832399,4.46587679006865,2023-06-19 14:09:00,2023-06-20 07:14:00,1.74,69,708.26,0.351365895169965,1.55397552770606
153,"D2",23,0.894411034878548,0.122669157626421,13.7150764964655,2023-06-19 14:09:00,2023-06-20 07:14:00,2.96,83,707.04,0.50838489475956,2.07367759436665
154,"C2",23,1.13116171187217,0.0738080883567338,6.52498113948494,2023-06-19 14:09:00,2023-06-20 07:14:00,2.92,81,707.08,0.869512509841925,1.53348557020821
155,"C3",23,0.902095633265999,0.09836701350279,10.9042777589618,2023-06-19 14:09:00,2023-06-20 07:14:00,1.55,66,708.45,0.548888910261865,1.29158716649616
157,"C1",23,0.782814737821466,0.0730824245924882,9.33585190231253,2023-06-19 14:09:00,2023-06-20 07:14:00,2.28,82,707.72,0.547684635360779,1.41036466485852
