Rack,Bin,TagID,ID_fish,Final_Mass_g,Final_Length_mm,Gonad_mass_g,Sex,Fat_mass_g,Ventricle_mass_g,Otolith_age_y
3,11,BrR,124,8.64,112,0.041,M,0.354,0.004,1
3,11,RL,125,4.21,93,0.034,F,0.237,,
3,11,RR,126,5.52,100,0.108,F,0.209,,
3,11,BL,127,8.15,110,0.13,M,0.473,0.008,1
3,11,BR,128,9.09,115,0.05,F,0.962,0.007,1.5
3,12,YL,129,5.71,100,0.015,I,0.414,0.003,1
3,12,YR,130,3.22,88,0.003,F,0.093,,
3,12,BrL,131,3.54,88,0.008,I,0.185,0.001,1
3,12,BrR,132,4.32,93,0.046,F,0.086,,
3,12,RR,134,2.6,80,0.01,F,0.08,0.001,1
3,12,,135,,,,,,,
3,12,BR,136,2.46,82,0.002,I,0.07,0.002,1
3,13,YL,137,3.36,84,0.006,I,0.045,0.005,1
3,13,YR,138,6.205,104,0.033,M,0.378,0.005,1
3,13,BrL,139,1.437,72,0.004,I,0.015,0.002,1
3,13,,140,,,,,,,
3,13,RL,141,3.77,92,0.012,I,0.185,,
3,13,RR,142,5.727,100,0.044,M,0.341,0.006,2
3,13,BL,143,3.47,89,0.024,F,0.121,0.003,1
3,13,BR,144,3.111,84,0.011,M,0.084,0.005,1
3,14,YL,145,1.77,74,0.0039,I,0.043,0.0015,1
3,14,YR,146,3.04,80,0.0255,M,0.1024,,
3,14,BrL,147,2.94,80,0.012,I,0.1167,,
3,14,,148,,,,,,,
3,14,,149,,,,,,,
3,14,,150,,,,,,,
3,14,BL,151,2.56,82,0.0105,F,0.057,,
3,14,BR,152,3.26,87,0.0176,I,0.128,,
3,15,YL,153,4.73,95,0.01,I,0.232,,
3,15,YR,154,3.54,85,0.01,I,0.156,0.004,1
3,15,BrL,155,3.97,84,0.037,F,0.154,0.002,1
3,15,RL,157,2.23,81,0.008,I,0.041,<0.0005,1
3,15,,158,,,,,,,
3,15,,160,,,,,,,
